PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of redirect inlinks,No. of href inlinks
0,https://www.visitbanjarmasin.id/zh/explore/wisata-malam-di-kayutangi,Wisata Malam di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-tengah,Hotel Murah di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-tengah,Tempat Nongkrong di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/zh/explore/hotel-murah-di-banjarmasin-selatan,Hotel Murah di Banjarmasin Selatan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-timur,Oleh-oleh Khas di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-tengah,Wisata Kuliner di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/zh/explore/wisata-malam-di-banjarmasin-barat,Wisata Malam di Banjarmasin Barat | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-utara,Tempat Nongkrong di Banjarmasin Utara | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/profil-kota,Profil Kota Banjarmasin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-sultan-adam,Oleh-oleh Khas di Sultan Adam | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-banjarmasin-selatan,Oleh-oleh Khas di Banjarmasin Selatan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-tengah,Oleh-oleh Khas di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/en/explore/hotel-murah-di-banjarmasin-utara,Hotel Murah di Banjarmasin Utara | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/sewa-mobil-di-banjarmasin-timur,Sewa Mobil di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/tempat-wisata-di-banjarmasin-tengah,Tempat Wisata di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
