PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of redirect inlinks,No. of href inlinks
0,https://www.visitbanjarmasin.id/ms/explore/wisata-malam-di-banjarmasin-tengah,Wisata Malam di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/hotel-murah-di-sungai-andai,Hotel Murah di Sungai Andai | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-sultan-adam,Tempat Nongkrong di Sultan Adam | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-sultan-adam,Oleh-oleh Khas di Sultan Adam | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/ms/explore/sewa-mobil-di-banjarmasin-barat,Sewa Mobil di Banjarmasin Barat | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/tempat-wisata-di-sungai-andai,Tempat Wisata di Sungai Andai | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/en/explore/wisata-malam-di-banjarmasin-selatan,Wisata Malam di Banjarmasin Selatan | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/sewa-mobil-di-banjarmasin-utara,Sewa Mobil di Banjarmasin Utara | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-gatot-subroto,Wisata Kuliner di Gatot Subroto | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/en/explore/hotel-murah-di-banjarmasin-barat,Hotel Murah di Banjarmasin Barat | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-utara,Oleh-oleh Khas di Banjarmasin Utara | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
0,https://www.visitbanjarmasin.id/en/explore/tempat-wisata-di-banjarmasin-utara,Tempat Wisata di Banjarmasin Utara | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/en/explore/sewa-mobil-di-sungai-andai,Sewa Mobil di Sungai Andai | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/en/explore/hotel-murah-di-banjarmasin-tengah,Hotel Murah di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/en/explore/tempat-nongkrong-di-banjarmasin-barat,Tempat Nongkrong di Banjarmasin Barat | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-timur,Tempat Nongkrong di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/zh/explore/sewa-mobil-di-banjarmasin-tengah,Sewa Mobil di Banjarmasin Tengah | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/zh/explore/sewa-mobil-di-banjarmasin-timur,Sewa Mobil di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-banjarmasin-utara,Oleh-oleh Khas di Banjarmasin Utara | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/tempat-wisata-di-banjarmasin-timur,Tempat Wisata di Banjarmasin Timur | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/ms/explore/tempat-nongkrong-di-banjarmasin-barat,Tempat Nongkrong di Banjarmasin Barat | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/en/explore/tempat-nongkrong-di-kayutangi,Tempat Nongkrong di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/en/explore/wisata-malam-di-gatot-subroto,Wisata Malam di Gatot Subroto | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/en/explore/sewa-mobil-di-kuin,Sewa Mobil di Kuin | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,2,1,0
0,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-kayutangi,Oleh-oleh Khas di Kayutangi | Visit Banjarmasin,text/html; charset=utf-8,false,200,0,1,1,0
