PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
0,https://visitbanjarmasin.id/en/explore/wisata-malam-di-kayutangi,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/explore/wisata-malam-di-kayutangi,200,,,https://www.visitbanjarmasin.id/en/explore/wisata-malam-di-kayutangi,200,false,6,0,https://visitbanjarmasin.id/explore/wisata-malam-di-kayutangi
0,https://visitbanjarmasin.id/explore/hotel-murah-di-kayutangi,,text/plain,false,308,0,https://www.visitbanjarmasin.id/explore/hotel-murah-di-kayutangi,200,,,https://www.visitbanjarmasin.id/explore/hotel-murah-di-kayutangi,200,false,9,0,
0,https://visitbanjarmasin.id/ms/budaya,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/budaya,200,,,https://www.visitbanjarmasin.id/ms/budaya,200,false,6,0,https://visitbanjarmasin.id/budaya
0,https://visitbanjarmasin.id/en/explore/hotel-murah-di-sultan-adam,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/explore/hotel-murah-di-sultan-adam,200,,,https://www.visitbanjarmasin.id/en/explore/hotel-murah-di-sultan-adam,200,false,6,0,https://visitbanjarmasin.id/explore/hotel-murah-di-sultan-adam
0,https://visitbanjarmasin.id/en/explore/wisata-kuliner-di-sungai-andai,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/explore/wisata-kuliner-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/en/explore/wisata-kuliner-di-sungai-andai,200,false,6,0,https://visitbanjarmasin.id/explore/wisata-kuliner-di-sungai-andai
0,https://visitbanjarmasin.id/panduan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/panduan,200,,,https://www.visitbanjarmasin.id/panduan,200,false,9,0,
0,https://visitbanjarmasin.id/en/profil,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/profil,200,,,https://www.visitbanjarmasin.id/en/profil,200,false,6,0,https://visitbanjarmasin.id/profil
0,https://visitbanjarmasin.id/zh/explore/hotel-murah-di-banjarmasin-tengah,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/explore/hotel-murah-di-banjarmasin-tengah,200,,,https://www.visitbanjarmasin.id/zh/explore/hotel-murah-di-banjarmasin-tengah,200,false,6,0,https://visitbanjarmasin.id/explore/hotel-murah-di-banjarmasin-tengah
0,https://visitbanjarmasin.id/ms/explore/hotel-murah-di-banjarmasin-utara,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/hotel-murah-di-banjarmasin-utara,200,,,https://www.visitbanjarmasin.id/ms/explore/hotel-murah-di-banjarmasin-utara,200,false,6,0,https://visitbanjarmasin.id/explore/hotel-murah-di-banjarmasin-utara
0,https://visitbanjarmasin.id/en/explore/sewa-mobil-di-sultan-adam,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/explore/sewa-mobil-di-sultan-adam,200,,,https://www.visitbanjarmasin.id/en/explore/sewa-mobil-di-sultan-adam,200,false,6,0,https://visitbanjarmasin.id/explore/sewa-mobil-di-sultan-adam
0,https://visitbanjarmasin.id/ms/smart-city,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/smart-city,200,,,https://www.visitbanjarmasin.id/ms/smart-city,200,false,6,0,https://visitbanjarmasin.id/smart-city
0,https://visitbanjarmasin.id/explore/tempat-nongkrong-di-sungai-andai,,text/plain,false,308,0,https://www.visitbanjarmasin.id/explore/tempat-nongkrong-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/explore/tempat-nongkrong-di-sungai-andai,200,false,9,0,
0,https://visitbanjarmasin.id/explore/tempat-nongkrong-di-sultan-adam,,text/plain,false,308,0,https://www.visitbanjarmasin.id/explore/tempat-nongkrong-di-sultan-adam,200,,,https://www.visitbanjarmasin.id/explore/tempat-nongkrong-di-sultan-adam,200,false,9,0,
0,https://visitbanjarmasin.id/ms/explore/sewa-mobil-di-gatot-subroto,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/sewa-mobil-di-gatot-subroto,200,,,https://www.visitbanjarmasin.id/ms/explore/sewa-mobil-di-gatot-subroto,200,false,6,0,https://visitbanjarmasin.id/explore/sewa-mobil-di-gatot-subroto
0,https://visitbanjarmasin.id/explore/wisata-malam-di-gatot-subroto,,text/plain,false,308,0,https://www.visitbanjarmasin.id/explore/wisata-malam-di-gatot-subroto,200,,,https://www.visitbanjarmasin.id/explore/wisata-malam-di-gatot-subroto,200,false,9,0,
0,https://visitbanjarmasin.id/zh/explore/wisata-malam-di-kuin,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/explore/wisata-malam-di-kuin,200,,,https://www.visitbanjarmasin.id/zh/explore/wisata-malam-di-kuin,200,false,6,0,https://visitbanjarmasin.id/explore/wisata-malam-di-kuin
0,https://visitbanjarmasin.id/explore/tempat-nongkrong-di-banjarmasin-selatan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/explore/tempat-nongkrong-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/explore/tempat-nongkrong-di-banjarmasin-selatan,200,false,9,0,
0,https://visitbanjarmasin.id/en/explore/tempat-wisata-di-kayutangi,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/explore/tempat-wisata-di-kayutangi,200,,,https://www.visitbanjarmasin.id/en/explore/tempat-wisata-di-kayutangi,200,false,6,0,https://visitbanjarmasin.id/explore/tempat-wisata-di-kayutangi
0,https://visitbanjarmasin.id/ms/explore/hotel-murah-di-banjarmasin-timur,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/hotel-murah-di-banjarmasin-timur,200,,,https://www.visitbanjarmasin.id/ms/explore/hotel-murah-di-banjarmasin-timur,200,false,6,0,https://visitbanjarmasin.id/explore/hotel-murah-di-banjarmasin-timur
0,https://visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-sungai-andai,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-sungai-andai,200,false,6,0,https://visitbanjarmasin.id/explore/oleh-oleh-khas-di-sungai-andai
0,https://visitbanjarmasin.id/en/budaya,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/budaya,200,,,https://www.visitbanjarmasin.id/en/budaya,200,false,6,0,https://visitbanjarmasin.id/budaya
0,https://www.visitbanjarmasin.id/id/budaya,,text/plain,false,308,0,https://www.visitbanjarmasin.id/budaya,200,,,https://www.visitbanjarmasin.id/budaya,200,false,1,1,https://visitbanjarmasin.id/id/budaya
0,https://visitbanjarmasin.id/explore/hotel-murah-di-kuin,,text/plain,false,308,0,https://www.visitbanjarmasin.id/explore/hotel-murah-di-kuin,200,,,https://www.visitbanjarmasin.id/explore/hotel-murah-di-kuin,200,false,9,0,
0,https://visitbanjarmasin.id/en/explore/tempat-nongkrong-di-banjarmasin-selatan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/explore/tempat-nongkrong-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/en/explore/tempat-nongkrong-di-banjarmasin-selatan,200,false,6,0,https://visitbanjarmasin.id/explore/tempat-nongkrong-di-banjarmasin-selatan
0,https://visitbanjarmasin.id/explore/sewa-mobil-di-sultan-adam,,text/plain,false,308,0,https://www.visitbanjarmasin.id/explore/sewa-mobil-di-sultan-adam,200,,,https://www.visitbanjarmasin.id/explore/sewa-mobil-di-sultan-adam,200,false,9,0,
0,https://visitbanjarmasin.id/en/explore/tempat-wisata-di-banjarmasin-timur,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/explore/tempat-wisata-di-banjarmasin-timur,200,,,https://www.visitbanjarmasin.id/en/explore/tempat-wisata-di-banjarmasin-timur,200,false,6,0,https://visitbanjarmasin.id/explore/tempat-wisata-di-banjarmasin-timur
0,https://visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-sultan-adam,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-sultan-adam,200,,,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-sultan-adam,200,false,6,0,https://visitbanjarmasin.id/explore/oleh-oleh-khas-di-sultan-adam
